EventTime,BEST_BID,BEST_BID_VOL,BEST_ASK,BEST_ASK_VOL,MIDPOINT
2020-01-01 10:37:00,100139.0,10414.0,100140.0,1349.0,100139.5
2020-01-01 10:38:00,100140.0,10907.0,100141.0,1327.0,100140.5
2020-01-01 10:39:00,100141.0,10661.0,100142.0,1372.0,100141.5
2020-01-01 10:40:00,100142.0,10124.0,100143.0,1294.0,100142.5
2020-01-01 10:41:00,100143.0,12203.0,100144.0,1485.0,100143.5
2020-01-01 10:42:00,100144.0,10264.0,100145.0,1445.0,100144.5
2020-01-01 10:43:00,100145.0,11042.0,100146.0,1663.0,100145.5
2020-01-01 10:44:00,100146.0,10215.0,100147.0,1676.0,100146.5
2020-01-01 10:45:00,100147.0,10437.0,100148.0,1672.0,100147.5
2020-01-01 10:46:00,100148.0,12619.0,100149.0,1505.0,100148.5
2020-01-01 10:47:00,100149.0,10273.0,100150.0,1667.0,100149.5
2020-01-01 10:48:00,100150.0,10683.0,100151.0,1351.0,100150.5
2020-01-01 10:49:00,100151.0,10966.0,100152.0,1183.0,100151.5
2020-01-01 10:50:00,100152.0,10101.0,100153.0,1282.0,100152.5
2020-01-01 10:51:00,100153.0,11705.0,100154.0,1565.0,100153.5
2020-01-01 10:52:00,100154.0,11483.0,100155.0,1435.0,100154.5
2020-01-01 10:53:00,100155.0,10857.0,100156.0,1507.0,100155.5
2020-01-01 10:54:00,100156.0,11675.0,100157.0,1429.0,100156.5
2020-01-01 10:55:00,100157.0,11522.0,100158.0,1588.0,100157.5
2020-01-01 10:56:00,100158.0,10321.0,100159.0,1465.0,100158.5
2020-01-01 10:57:00,100159.0,11241.0,100160.0,1612.0,100159.5
2020-01-01 10:58:00,100160.0,10526.0,100161.0,1434.0,100160.5
2020-01-01 10:59:00,100161.0,10770.0,100162.0,1513.0,100161.5
2020-01-01 11:00:00,99891.0,50001.0,99894.0,48.0,99892.5
2020-01-01 11:01:00,99639.0,59.0,99640.0,40.0,99639.5
2020-01-01 11:02:00,99520.0,46.0,99521.0,48.0,99520.5
2020-01-01 11:03:00,99555.0,43.0,99556.0,57.0,99555.5
2020-01-01 11:04:00,99567.0,57.0,99568.0,10.0,99567.5
2020-01-01 11:05:00,99568.0,171.0,99569.0,31.0,99568.5
2020-01-01 11:06:00,99577.0,296.0,99578.0,163.0,99577.5
2020-01-01 11:07:00,99620.0,49.0,99621.0,2.0,99620.5
2020-01-01 11:08:00,99631.0,92.0,99633.0,144.0,99632.0
2020-01-01 11:09:00,99637.0,31.0,99639.0,48.0,99638.0
2020-01-01 11:10:00,99623.0,63.0,99624.0,82.0,99623.5
2020-01-01 11:11:00,99638.0,26.0,99639.0,83.0,99638.5
2020-01-01 11:12:00,99719.0,146.0,99720.0,1.0,99719.5
2020-01-01 11:13:00,99725.0,54.0,99726.0,106.0,99725.5
2020-01-01 11:14:00,99728.0,36.0,99732.0,6.0,99730.0
2020-01-01 11:15:00,99677.0,77.0,99678.0,3.0,99677.5
2020-01-01 11:16:00,99677.0,21.0,99678.0,35.0,99677.5
2020-01-01 11:17:00,99700.0,42.0,99701.0,5.0,99700.5
2020-01-01 11:18:00,99694.0,79.0,99695.0,21.0,99694.5
2020-01-01 11:19:00,99668.0,194.0,99669.0,87.0,99668.5
2020-01-01 11:20:00,99698.0,35.0,99699.0,62.0,99698.5
2020-01-01 11:21:00,99690.0,140.0,99691.0,40.0,99690.5
2020-01-01 11:22:00,99704.0,74.0,99705.0,179.0,99704.5
2020-01-01 11:23:00,99732.0,15.0,99733.0,18.0,99732.5
2020-01-01 11:24:00,99667.0,1.0,99668.0,23.0,99667.5
2020-01-01 11:25:00,99716.0,115.0,99717.0,81.0,99716.5
2020-01-01 11:26:00,99767.0,46.0,99768.0,5.0,99767.5
2020-01-01 11:27:00,99782.0,133.0,99783.0,24.0,99782.5
2020-01-01 11:28:00,99740.0,7.0,99741.0,19.0,99740.5
2020-01-01 11:29:00,99729.0,45.0,99730.0,54.0,99729.5
